house,price,area
5 Bedroom House for sale in Sector-128 Noida,"₹ 2.95 Cr
₹ 5,589/sq.ft.","5,100 sq.ft.
(474 sq.m.) Built-up Area"
8 Bedroom House for sale in Punjabi Bagh West,"₹ 27 Cr
₹ 30,000/sq.ft.","9,000 sq.ft.
(836 sq.m.) Plot Area"
4 Bedroom House for sale in Sector-27 Greater Noida,"₹ 2.16 - 3.88 Cr
₹ 7,150/sq.ft.","3,023-5,427 sq.ft.
(281-504 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector-27 Greater Noida,"₹ 1.98 - 5.29 Cr
₹ 8,400/sq.ft.","2,359-6,300 sq.ft.
(219-585 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector ZETA Gr Noida,"₹ 1.05 - 1.48 Cr
₹ 4,650/sq.ft.","2,452-3,008 sq.ft.
(228-279 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector-150 Noida,"₹ 6.25 - 16.36 Cr
₹ 19,841/sq.ft.","3,150-8,245 sq.ft.
(293-766 sq.m.) Built-up Area"
3 Bedroom House for sale in Sector-10 Greater Noida West,"₹ 38.42 Lac
₹ 2,650/sq.ft.","1,450 sq.ft.
(135 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector-27 Greater Noida,"₹ 3.15 - 6 Cr
₹ 8,350/sq.ft.","4,200-6,300 sq.ft.
(390-585 sq.m.) Built-up Area"
7 Bedroom House for sale in Shahadra,"₹ 3.25 Cr
₹ 21,567/sq.ft.","1,506 sq.ft.
(140 sq.m.) Plot Area"
3 Bedroom House for sale in Nangloi,"₹ 1.5 Cr
₹ 10,000/sq.ft.","1,600 sq.ft.
(149 sq.m.) Plot Area"
3 Bedroom House for sale in Jewar,₹ 42.5 Lac,"9,099 sq.ft.
(845 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector-27 Greater Noida,"₹ 3.15 - 6 Cr
₹ 8,347/sq.ft.","4,200-6,300 sq.ft.
(390-585 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector-27 Greater Noida,"₹ 2.16 - 3.88 Cr
₹ 7,150/sq.ft.","3,023-5,427 sq.ft.
(281-504 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector-150 Noida,"₹ 6.24 - 16.33 Cr
₹ 19,800/sq.ft.","3,150-8,245 sq.ft.
(293-766 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector-72 Gurgaon,"₹ 5.95 - 7.22 Cr
₹ 8,500/sq.ft.","7,000-8,500 sq.ft.
(650-790 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector-112 Gurgaon,"₹ 6.5 Cr
₹ 10,236/sq.ft.","6,350 sq.ft.
(590 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector-109 Gurgaon,"₹ 4 - 4.6 Cr
₹ 10,233/sq.ft.","3,909-4,497 sq.ft.
(363-418 sq.m.) Built-up Area"
3 Bedroom House for sale in Sector 1 Greater Noida West,"₹ 1.37 Cr
₹ 5,490/sq.ft.","2,495 sq.ft.
(232 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector 1 Greater Noida West,"₹ 1.65 - 2.91 Cr
₹ 5,490/sq.ft.","3,000-5,305 sq.ft.
(279-493 sq.m.) Built-up Area"
4 Bedroom House for sale in Sector-27 Greater Noida,"₹ 2.15 - 3.86 Cr
₹ 7,112/sq.ft.","3,023-5,427 sq.ft.
(281-504 sq.m.) Built-up Area"
